BA,BNE,EO,LY,MMY,MO,MY,PMY,SNE,ID
0.008601665496826172,0.005560398101806641,0.008318662643432617,0.91943359375,0.008299827575683594,0.014917373657226562,0.008014678955078125,0.01752185821533203,0.009319305419921875,00017470.jpg
0.02219390869140625,0.12490081787109375,0.0533905029296875,0.451751708984375,0.039707183837890625,0.07875823974609375,0.023092269897460938,0.06751632690429688,0.1387176513671875,00017471.jpg
0.0195159912109375,0.356781005859375,0.034351348876953125,0.029436111450195312,0.049114227294921875,0.01660633087158203,0.03511810302734375,0.0406951904296875,0.4182586669921875,00017480.jpg
0.0062923431396484375,0.0024237632751464844,0.006351828575134277,0.9412841796875,0.010599613189697266,0.009828567504882812,0.007649898529052734,0.009889602661132812,0.0057239532470703125,00017489.jpg
0.007925987243652344,0.018281936645507812,0.007701873779296875,0.039562225341796875,0.053821563720703125,0.8013916015625,0.019811630249023438,0.03908538818359375,0.012412548065185547,00017491.jpg
0.014290809631347656,0.508544921875,0.02432537078857422,0.022907257080078125,0.04235649108886719,0.024923324584960938,0.02526092529296875,0.030315399169921875,0.3070831298828125,00017495.jpg
0.01959991455078125,0.17193603515625,0.05725669860839844,0.029470443725585938,0.035236358642578125,0.0307159423828125,0.0257568359375,0.04449462890625,0.58551025390625,00017499.jpg
0.011631965637207031,0.011911630630493164,0.01812267303466797,0.09376907348632812,0.2441253662109375,0.01799297332763672,0.566650390625,0.02298450469970703,0.012878894805908203,00017500.jpg
0.018293380737304688,0.013744354248046875,0.018644332885742188,0.825439453125,0.017091751098632812,0.04070854187011719,0.019107818603515625,0.02692413330078125,0.020015716552734375,00017504.jpg
0.023714065551757812,0.413848876953125,0.02645397186279297,0.03831291198730469,0.02919769287109375,0.028156280517578125,0.028202056884765625,0.0466156005859375,0.365478515625,00017506.jpg
0.019378662109375,0.22255706787109375,0.03572654724121094,0.048633575439453125,0.029799461364746094,0.0262451171875,0.03005218505859375,0.03887176513671875,0.548675537109375,00017507.jpg
0.027498245239257812,0.1245880126953125,0.05797767639160156,0.07152557373046875,0.04107475280761719,0.034328460693359375,0.03862762451171875,0.05573272705078125,0.54864501953125,00017510.jpg
0.0117645263671875,0.006703376770019531,0.007414340972900391,0.69189453125,0.0055658817291259766,0.2061767578125,0.0059206485748291016,0.048854827880859375,0.01578664779663086,00017511.jpg
0.008753299713134766,0.007245063781738281,0.007369518280029297,0.6575927734375,0.004886627197265625,0.2463836669921875,0.005064249038696289,0.04717254638671875,0.01551055908203125,00017512.jpg
0.018629074096679688,0.1560211181640625,0.027330398559570312,0.024017333984375,0.0222625732421875,0.02098846435546875,0.022542953491210938,0.036434173583984375,0.6717529296875,00017514.jpg
0.011400222778320312,0.009985923767089844,0.015958786010742188,0.03209686279296875,0.6317138671875,0.045658111572265625,0.2226104736328125,0.019117355346679688,0.011422157287597656,00017515.jpg
0.01590728759765625,0.20552825927734375,0.05163002014160156,0.03215789794921875,0.030429840087890625,0.024122238159179688,0.03130531311035156,0.0364532470703125,0.57257080078125,00017518.jpg
0.007304191589355469,0.010788917541503906,0.022558212280273438,0.18137359619140625,0.541107177734375,0.08556175231933594,0.1168060302734375,0.023273468017578125,0.011409759521484375,00017520.jpg
0.019483566284179688,0.193817138671875,0.042883872985839844,0.03398323059082031,0.023530960083007812,0.016414642333984375,0.025156021118164062,0.04227447509765625,0.60235595703125,00017522.jpg
